OBJECTID,Id,PWS_Name,Pop_Served,Connection,PWSID,PWS_Type,Source,Owner,Size,OUA,File_No,APN,Level_,Vul_Code,Status,ShapeSTArea,ShapeSTLength
94,2,Templeton CSD,6453,2514,CA4010019,CWS,GW,Local_Govt,Medium, , , ,vulnerable,,Active,141249769.082031,97860.4218127757
95,2,Templeton CSD,10,6,CA4010019,CWS,GW,Local_Govt,Medium,Adams, ,040-081-019,vulnerable,,Active,272024.04296875,2289.27517770135
96,2,Templeton CSD,28,14,CA4010019,CWS,GW,Local_Govt,Medium,Hamm, ,040-137-004,vulnerable,,Active,629180.349609375,3509.91070257919
97,2,Templeton CSD,2,1,CA4010019,CWS,GW,Local_Govt,Medium,Madsen, ,040-081-033,vulnerable,,Active,429920.766601562,2808.19754884599
98,2,Templeton CSD,12,7,CA4010019,CWS,GW,Local_Govt,Medium,Campbells, ,040-081-037,vulnerable,,Active,691292.545898438,3369.87237718038
99,2,Templeton CSD,2,1,CA4010019,CWS,GW,Local_Govt,Medium,Unknown, ,040-081-032,vulnerable,,Active,355905.708007812,2778.54324648961
100,2,Templeton CSD,15,1,CA4010019,CWS,GW,Local_Govt,Medium,Farm Supply, ,040-143-050,vulnerable,,Active,234001.65234375,1944.59728694082
101,2,Templeton CSD,2,1,CA4010019,CWS,GW,Local_Govt,Medium,Lilly, ,040-143-001,vulnerable,,Active,108994.578125,1388.64674207017
102,2,Templeton CSD,5,1,CA4010019,CWS,GW,Local_Govt,Medium,CDF, ,040-143-003,vulnerable,,Active,100956.05859375,1296.29587356791
103,2,Templeton CSD,28,10,CA4010019,CWS,GW,Local_Govt,Medium,Claassen, ,040-081-040,vulnerable,,Active,4889852.12988281,11441.449798852
104,2,Templeton CSD,2,1,CA4010019,CWS,GW,Local_Govt,Medium,Lewis,1-O-95,040-143-004,vulnerable,,Active,165579.427734375,2085.97187574476
105,2,Templeton CSD,22,13,CA4010019,CWS,GW,Local_Govt,Medium,Hamm No.2, ,040-081-016,vulnerable,,Active,548169.432617188,2981.51679336867
106,1,West Kern County Water District,18000,7600,CA1510022,CWS,SWP,Local_Govt,Large, , , ,pending,,Active,8654869067.80859,853623.613989788
107,4,San Simeon Creek Ranch,42,2,CA4000703,TNCWS,GW,Private,Very Small, , , ,watch,,Active,21257276.6142578,23955.7684895866
108,4,Weso aka T&A Properties Water Company,25,7,CA4000224,CWS,GW,Private,Very Small, , , ,pending,,Active,686347.991210938,4777.69586200889
109,4,Almira Water Association,40,18,CA4000631,CWS,GW,Private,Very Small, , , ,watch,,Active,9160794.53613281,19517.6830246766
110,4,Avila Valley Mutual Water Company,65,26,CA4000716,CWS,GW,Private,Very Small, , , ,pending,,Active,11374228.2705078,15960.5194094837
111,3,Tiger Water Supply,1600,1,CA4000205,NTNCWS,GW,Local_Govt,Small, , ,002-352-002,pending,,Active,2758036.60546875,7346.09760662204
112,3,PG&E,1200,1,CA4000589,NTNCWS,SW,Private,Small, , ,076-011-018,pending,,Active,23749661.4785156,21277.6477195263
113,3,Lake Nacimiento,1000,1,CA4000590,NTNCWS,GW,Private,Small, , ,080-081-014,pending,,Active,23579358.5917969,21023.0557555878
114,3,Madonna Inn Water Company,650,1,CA4000780,NTNCWS,GW,Private,Small, , ,004-511-021,pending,,Active,2408208.67382812,10206.5145344123
115,4,Hearst Memorial State Beach,500,1,CA4010301,TNCWS,GW,State_Govt,Very Small, , ,011-242-019,critical,,Active,19257093.6738281,24499.1609410716
116,4,Ernie Ball Inc,300,1,CA4000751,NTNCWS,GW,Private,Very Small, , ,053-258-002,pending,,Active,322687.995117188,2609.31661900039
117,4,Branch Elementary School,300,1,CA4000675,NTNCWS,GW,Local_Govt,Very Small, , ,047-271-011,watch,,Active,262979.006835938,2082.00217392765
118,4,R. Howard Strasbaugh Inc,200,1,CA4000777,NTNCWS,GW,Private,Very Small, , ,076-063-025,watch,,Active,675379.118164062,3453.75816187237
119,4,Sycamore Mineral Springs Resort,200,1,CA4000689,NTNCWS,GW,Private,Very Small, , ,076-231-053,watch,,Active,5149331.6953125,10905.1349561028
120,4,Conoco Phillips Company,140,1,CA4000255,NTNCWS,GW,Private,Very Small, , ,092-401-011,pending,,Active,24063980.6201172,22625.5824678956
121,4,Santa Maria Speedway,100,1,CA4000783,TNCWS,GW,Private,Very Small, , ,090-301-040,watch,,Active,915634.00390625,3775.71161257682
122,4,Pleasant Valley Elementary,100,1,CA4000774,NTNCWS,GW,Local_Govt,Very Small, , ,019-071-055,vulnerable,,Active,424591.845703125,3128.22904914146
123,4,Santa Margarita Recreation Area,100,1,CA4000714,TNCWS,GW,Local_Govt,Very Small, , ,070-341-019,pending,,Active,25345444.3408203,25849.3972102732
124,4,Lopez Recreation Area,100,1,CA4000701,TNCWS,GW,Local_Govt,Very Small, , ,048-051-019,pending,,Active,68466098.5058594,46258.6676620424
125,4,Creston Elementary School,100,1,CA4000693,NTNCWS,GW,Local_Govt,Very Small, , ,043-082-004,pending,,Active,209076.274414062,2064.05595456858
126,4,Ragged Point Inn,100,1,CA4000684,NTNCWS,SW,Private,Very Small, , ,011-011-010,pending,,Active,930505.649414062,4245.63892126955
127,4,Morro Bay Mutual Water Company,100,1,CA4000665,NTNCWS,GW,Private,Very Small, , , ,pending,,Active,5213215.65527344,10839.5018091137
128,4,Camp Roberts,100,1,CA4000620,NTNCWS,GW,Fed_Govt,Very Small, , ,027-401-020,pending,,Active,27535448.1582031,20989.8349191298
129,4,Clearwater Nursery,100,1,CA4000207,NTNCWS,GW,Private,Very Small, , ,091-281-083,pending,,Active,3382892.86816406,7758.59414302764
130,4,San Luis Business Park,100,1,CA4000711,NTNCWS,GW,Private,Very Small, , ,053-264-006,watch,,Active,84011.546875,1241.96137530204
131,4,Whitson Industrial Park,75,1,CA4000728,NTCWS,GW,Private,Very Small, , ,053-258-029,watch,,Active,305009.528320312,2522.46407920928
132,4,Ball Tagawa West Growers,70,1,CA4000209,NTNCWS,GW,Private,Very Small, , ,091-101-011,watch,,Active,3081119.91210938,8301.56275464312
133,4,Carrisa Plains School,65,1,CA4000732,NTNCWS,GW,Local_Govt,Very Small, , ,072-101-011,vulnerable,,Active,444658.499023438,2987.6442888938
134,4,Santa Lucia School,52,1,CA4000767,NTNCWS,GW,Local_Govt,Very Small, , ,039-301-006,vulnerable,,Active,214099.446289062,2197.4604036797
135,4,Hunter Ranch Golf Course,50,1,CA4000788,TNCWS,GW,Private,Very Small, , ,025-701-004,watch,,Active,9298228.06347656,12529.855407253
136,4,Santa Margarita KOA,50,1,CA4000656,TNCWS,GW,Private,Very Small, , ,070-391-028,pending,,Active,2548665.35644531,6892.79835853949
137,4,Skyline Flower Growers & Shippers,50,1,CA4000223,NTNCWS,GW,Private,Very Small, , ,092-371-015,critical,,Active,1344274.24121094,5468.68040362293
138,4,Greenhart Farms,50,1,CA4000211,NTNCWS,GW,Private,Very Small, , ,075-351-033,watch,,Active,2477820.80175781,7549.20733937229
